Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code
HZ0805E601R-10,Laird Technologies,,875-HZ0805E601R-10,"EMI Filter Beads, Chips & Arrays 600ohms 100MHz .5A Monolithic 0805 SMD",0805
XG8V-0641,Omron Electronics,,653-XG8V-0641,6 pin header 1 row,
4-103327-5,TE Connectivity / AMP,,571-4-103327-5,3 pin header 1 row,
67996-412HLF,FCI,,649-67996-412HLF,6x2 header pins,
67997-414HLF,FCI,,649-67997-414HLF,7x2 header pins,
STM32F407VGT6,ST,,511-STM32F407VGT6,ARM Microcontrollers - MCU ARM M4 1024 FLASH 168 Mhz 192kB SRAM,
CGA3E3X7S2A104M080AB,TDK,,810-CGA3E3X7S2A104AB,Multilayer Ceramic Capacitors MLCC - SMD/SMT .1UF 100V 20% 0603,
CRCW06031M00FKEA,Vishay / Dale,,71-CRCW0603-1.0M-E3,Thick Film Resistors - SMD 1/10watt 1.0Mohms 1%,
ABLS-8.000MHZ-B4-T,ABRACON,,815-ABLS-8.0M-T,Crystals 8.000MHz 30ppm -20C +70C 18pF,
24LC512-I/SN,Microchip Technology,,579-24LC512-I/SN,EEPROM 512K 64K X 8 2.5V SER EE IND,
CRCW060347R0FKEA,Vishay / Dale,,71-CRCW0603-47-E3,Thick Film Resistors - SMD 1/10watt 47ohms 1%,
74HC595D,NXP Semiconductors,,771-74HC595D-T,Counter Shift Registers 8-BIT SHIFT REG W/OUTPUT LATCH,
RT0603FRE07220KL,Yageo,,603-RT0603FRE07220KL,Thin Film Resistors - SMD 1/10W 220K ohm 1% 50ppm,
RT0603FRE07330RL,Yageo,,603-RT0603FRE07330RL,Thin Film Resistors - SMD 1/10W 330 ohm 1% 50ppm,
RT0603FRE07510RL,Yageo,,603-RT0603FRE07510RL,Thin Film Resistors - SMD 1/10W 510 ohm 1% 50ppm,
BC337-16 A1,Taiwan ,,821-BC337-16-A1,Bipolar Transistors - BJT NPN Transistor,
MIC37100-3.3WS TR,Micrel,,998-MIC37100-3.3WSTR,LDO Voltage Regulators 1.0A Low Voltage uCap LDO Regulator in SOT223 Pkg(ROHS Compliant),
67068-9001,Molex,,538-67068-9001,USB Connectors USB Type B Recept R/A w/ Solder Tabs,
NHD-C0220AA-FSW-FTW,Newhaven Display,,763-C0220AA-FSW-FTW,LCD Character Display Modules & Accessories COG FSTN(+) 2x20 White Transflective,
"PRTR5V0U2X,215",NXP Semiconductors,,771-PRTR5V0U2X-T/R,ESD Suppressors 5.5V DUAL R-R ESD ULTRA LOW CAP,
EVQ-PQHB55,Panasonic,,667-EVQ-PQHB55,Tactile Switches Super small sized S Light Touch Switch,
1N4148WSFL-G3-08,Vishay Semiconductors,,78-1N4148WSFL-G3-08,"Diodes - General Purpose, Power, Switching 100volt 350mA 4ns",
GRM188R61E105KA12D,Murata Electronics,,81-GRM188R61E105KA12,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1uF 25volts X5R 10%,
MCT06030C2201FP500,Vishay / Beyschlag,,594-MCT06030C2201FP5,Thin Film Resistors - SMD .1W 2.2Kohm 1% 0603 50ppm Auto,
GRM188R61E225KA12D,Murata Electronics,,81-GRM188R61E225KA2D,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 2.2uF 25volts X5R 10%,
MCT06030C4701FP500,Vishay,,594-MCT06030C4701FP5,Thin Film Resistors - SMD .1W 4.7Kohms 1% 0603 50ppm Auto,
6N138S-TA1,Lite-On,,859-6N138STA1,High Speed Optocouplers Darlington 100KBd Transistor Output,
67WR10KLF,BI Technologies / TT Electronics,,858-67WR10KLF,"Trimmer Resistors - Through Hole 3/8"" Squ 10K 10%",
GRM21BR71A106KA73L,Murata Electronics,,81-GRM21BR71A106KA3L,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 10uF 10volts X7R + - 10%,
VJ0603A180JXACW1BC,Vishay / Vitramon,,77-VJ0603A180JXACBC,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 18pF 50volts C0G 5%,
GRM1885C1H200JA01D,Murata Electronics,,81-GRM39C200J50,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 20pF 50volts C0G 5%,
MCT06030C2209FP500,Vishay / Beyschlag,,594-MCT06030C2209FP5,Thin Film Resistors - SMD .1W 22ohm 1% 0603 50ppm Auto,
PEC12R-4225F-S0024,Bourns,,652-PEC12R-4225F-S24,Encoders 25mm SHAFT w/SWITCH,
VLMS1300-GS08,Vishay Semiconductors,,78-VLMS1300-GS08,Standard LEDs - SMD Super Red Clear Non-Diff,
CRCW060310K0FKEA,Vishay / Dale,,71-CRCW0603-10K-E3,Thick Film Resistors - SMD 1/10watt 10Kohms 1%,
MCT06030C6800FP500,Vishay / Beyschlag,,594-MCT06030C6800FP5,Thin Film Resistors - SMD .1W 680ohm 1% 0603 50ppm Auto,
57PC5F,Switchcraft,,502-57PC5F,DIN Connectors 5 COND 180 DIN CONN,
TL1100F160Q,E-Switch,,612-TL1100,Tactile Switches 12X7.3MM 160GF,
RK09D1130C2P,ALPS,,688-RK09D1130C2P,Potentiometers 9MM 10K V/ADJ,
MCT06030Z0000ZP500,Vishay / Beyschlag,,594-MCT06030Z0000ZP5,Thin Film Resistors - SMD Zero ohm Jumper,
CRCW06031K00FKEA,Vishay / Dale,,71-CRCW0603-1.0K-E3,Thick Film Resistors - SMD 1/10watt 1.0Kohms 1%,
CRCW060310K0FKEA,Vishay / Dale,,71-CRCW0603-10K-E3,Thick Film Resistors - SMD 1/10watt 10Kohms 1%,
MCT06030C2200FP500,Vishay / Beyschlag,,594-MCT06030C2200FP5,Thin Film Resistors - SMD .1W 220ohm 1% 0603 50ppm Auto,
VJ0603Y104JXJPW1BC,Vishay / Vitramon,,77-VJ0603Y104JXJPBC,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.1uF 16volts X7R 5%,
